PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,SHRENDDT,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,ALTPRC,SPREAD,ALTPRCDT,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
13851,20170228,,73,4,6726,46432F39,MTUM,ISHARES TRUST,,MTUM,525990,R,A,R,37493,0,5,6726,46432F39,,,,,,,,0,,,,,,,,,20170330,,,,,,,,,78.43000,81.33000,81.22000,46924,0.037955,81.17000,81.19000,26050,1,1,81.22000,,20170228,0.037955,0.032598,0.030496,0.017121,0.015547,0.037198
13851,20170331,,73,4,6726,46432F39,MTUM,ISHARES TRUST,,MTUM,525990,R,A,R,37493,0,5,6726,46432F39,20170323,,,,,20170330,20170328,0,,,1232,0.23533,0.00000,0.00000,,,20170427,,,,,,,,,81.53000,82.91700,82.65000,45697,0.020504,82.66000,82.69000,28100,1,1,82.65000,,20170331,0.017607,0.002062,0.000191,0.006378,0.004393,-0.000389
13851,20170428,,73,4,6726,46432F39,MTUM,ISHARES TRUST,,MTUM,525990,R,A,R,37493,0,5,6726,46432F39,,,,,,,,0,,,,,,,,,20170530,,,,,,,,,81.80000,84.78000,84.78000,51818,0.025771,84.74000,84.77000,30800,1,1,84.78000,,20170428,0.025771,0.009655,0.008535,0.003709,0.002711,0.009091
13851,20170531,,73,4,6726,46432F39,MTUM,ISHARES TRUST,,MTUM,525990,R,A,R,37493,0,5,6726,46432F39,,,,,,,,0,,,,,,,,,20170629,,,,,,,,,84.83000,88.82000,88.82000,92507,0.047653,88.80000,88.82000,38950,1,1,88.82000,,20170531,0.047653,0.009335,0.006983,-0.011301,-0.012994,0.011576
13851,20170630,,73,4,6726,46432F39,MTUM,ISHARES TRUST,,MTUM,525990,R,A,R,37493,0,5,6726,46432F39,20170626,,,,,20170630,20170629,0,,,1232,0.23834,0.00000,0.00000,,,20170730,,,,,,,,,88.58000,90.79000,88.89000,87377,0.003472,88.91000,88.95000,35050,1,1,88.89000,,20170630,0.000788,0.009571,0.007690,0.022960,0.020491,0.004814
13851,20170731,,73,4,6726,46432F39,MTUM,ISHARES TRUST,,MTUM,525990,R,A,R,37493,0,5,6726,46432F39,,,,,,,,0,,,,,,,,,20170731,,,,,,,,,88.89000,92.27000,91.98000,87108,0.034762,91.95000,91.97000,37700,1,1,91.98000,,20170731,0.034762,0.020277,0.018893,0.009082,0.008024,0.019349
13851,20170831,20190702,73,5,6726,46432F39,MTUM,ISHARES TRUST,,MTUM,525990,B,A,R,37493,0,5,6726,46432F39,,,,,,,,0,,,,,,,,,20170928,,,,,,,,,91.20000,93.33000,93.33000,75568,0.014677,93.29000,93.30000,40300,1,1,93.33000,,20170831,0.014677,0.001600,-0.000638,-0.008726,-0.010292,0.000546
13851,20170929,,73,5,6726,46432F39,MTUM,ISHARES TRUST,,MTUM,525990,B,A,R,37493,0,5,6726,46432F39,,,,,,20170929,20170927,0,,,1232,0.26575,0.00000,0.00000,,,20171030,,,,,,,,,92.17000,95.68000,95.68000,57107,0.028027,95.69000,95.70000,42100,1,1,95.68000,,20170929,0.025179,0.023729,0.022122,0.046845,0.044811,0.019303
13851,20171031,,73,5,6726,46432F39,MTUM,ISHARES TRUST,,MTUM,525990,B,A,R,37493,0,5,6726,46432F39,,,,,,,,0,,,,,,,,,20171129,,,,,,,,,96.07000,100.51000,100.50000,81053,0.050376,100.47000,100.50000,45650,1,1,100.50000,,20171031,0.050376,0.019275,0.018190,0.002239,0.001224,0.022188
13851,20171130,,73,5,6726,46432F39,MTUM,ISHARES TRUST,,MTUM,525990,B,A,R,37493,0,5,6726,46432F39,,,,,,,,0,,,,,,,,,20171225,,,,,,,,,100.20000,103.31000,103.31000,100471,0.027960,103.27000,103.28000,57300,1,1,103.31000,,20171130,0.027960,0.027231,0.024905,0.020843,0.019003,0.028083
13851,20171229,,73,5,6726,46432F39,MTUM,ISHARES TRUST,,MTUM,525990,B,A,R,37493,0,5,6726,46432F39,,,,,,20171228,20171222,0,,,1232,0.30800,0.00000,0.00000,,,20180130,,,,,,,,,101.28000,104.31000,103.13000,84751,0.001239,103.18000,103.19000,52550,1,1,103.13000,,20171229,-0.001742,0.012122,0.010264,0.014185,0.011109,0.009832
13851,20180131,,73,5,6726,46432F39,MTUM,ISHARES TRUST,,MTUM,525990,B,A,R,37493,0,5,6726,46432F39,,,,,,,,0,,,,,,,,,20180225,,,,,,,,,103.94000,113.56000,111.61000,218956,0.082226,111.53000,111.56000,64700,1,1,111.61000,,20180131,0.082226,0.050577,0.049625,0.029441,0.028637,0.056179
13851,20180228,,73,5,6726,46432F39,MTUM,ISHARES TRUST,,MTUM,525990,B,A,R,37493,0,5,6726,46432F39,,,,,,,,0,,,,,,,,,20180328,,,,,,,,,101.94000,112.08000,109.98000,217555,-0.014604,109.91000,109.92000,69550,1,1,109.98000,,20180228,-0.014604,-0.039455,-0.041323,-0.040026,-0.041468,-0.038947
13851,20180329,,73,5,6726,46432F39,MTUM,ISHARES TRUST,,MTUM,525990,B,A,R,37493,0,5,6726,46432F39,,,,,,20180328,20180323,0,,,1232,0.27396,0.00000,0.00000,,,20180429,,,,,,,,,104.20000,112.88000,105.92000,208856,-0.034425,105.90000,105.92000,77350,1,1,105.92000,,20180329,-0.036916,-0.018421,-0.020288,0.001242,-0.001052,-0.026885
13851,20180430,,73,5,6726,46432F39,MTUM,ISHARES TRUST,,MTUM,525990,B,A,R,37493,0,5,6726,46432F39,,,,,,,,0,,,,,,,,,20180530,,,,,,,,,102.58000,108.47000,106.45000,265767,0.005004,106.42000,106.45000,72150,1,1,106.45000,,20180430,0.005004,0.004679,0.003570,0.008169,0.007045,0.002719
